treatment sample
17-a1 LR-N-ODR 17-a1
17-a2 LR-Y-ODR 17-a2
17-a3 DR-Y-ODR 17-a3
17-a4 DR-N-ODR 17-a4
17-a5 W-N-ODR 17-a5
17-a6 W-Y-ODR 17-a6
17-b1 LR-N-KF 17-b1
17-b2 LR-Y-KF 17-b2
17-b3 DR-Y-KF 17-b3
17-b4 DR-N-KF 17-b4
17-b5 W-N-KF 17-b5
17-b6 W-Y-KF 17-b6
17-c1 LR-N-N 17-c1
17-c2 LR-Y-N 17-c2
17-c3 DR-Y-N 17-c3
17-c4 DR-N-N 17-c4
17-c5 W-N-N 17-c5
17-c6 W-Y-N 17-c6
17-d1 LR-Y-H 17-d1
17-d2 LR-N-H 17-d2
17-d3 DR-Y-H 17-d3
17-d4 DR-N-H 17-d4
17-d5 W-N-H 17-d5
17-d6 W-Y-H 17-d6
18-a1 UM-Y-H 18-a1
18-a2 UM-N-H 18-a2
18-a3 M-Y-H 18-a3
18-a4 M-N-H 18-a4
18-a5 TF-N-H 18-a5
18-a6 TF-Y-H 18-a6
18-b1 UM-Y-ODR 18-b1
18-b2 UM-N-ODR 18-b2
18-b3 M-Y-ODR 18-b3
18-b4 M-N-ODR 18-b4
18-b5 TF-N-ODR 18-b5
18-b6 TF-Y-ODR 18-b6
18-c1 UM-Y-N 18-c1
18-c2 UM-N-N 18-c2
18-c3 M-Y-N 18-c3
18-c4 M-N-N 18-c4
18-c5 TF-N-N 18-c5
18-c6 TF-Y-N 18-c6
18-d1 UM-Y-KF 18-d1
18-d2 UM-N-KF 18-d2
18-d3 M-Y-KF 18-d3
18-d4 M-N-KF 18-d4
18-d5 TF-N-KF 18-d5
18-d6 TF-Y-KF 18-d6
19-a1 DR-Y-ODR 19-a1
19-a2 DR-N-ODR 19-a2
19-a3 LR-N-ODR 19-a3
19-a4 LR-Y-ODR 19-a4
19-a5 M-Y-ODR 19-a5
19-a6 M-N-ODR 19-a6
19-b1 DR-Y-H 19-b1
19-b2 DR-N-H 19-b2
19-b3 LR-N-H 19-b3
19-b4 LR-Y-H 19-b4
19-b5 M-Y-H 19-b5
19-b6 M-N-H 19-b6
19-c1 DR-Y-N 19-c1
19-c2 DR-N-N 19-c2
19-c3 LR-N-N 19-c3
19-c4 LR-Y-N 19-c4
19-c5 M-Y-N 19-c5
19-c6 M-N-N 19-c6
19-d1 DR-Y-KF 19-d1
19-d2 DR-N-KF 19-d2
19-d3 LR-N-KF 19-d3
19-d4 LR-Y-KF 19-d4
19-d5 M-Y-KF 19-d5
19-d6 M-N-KF 19-d6
20-a1 UM-Y-N 20-a1
20-a2 UM-N-N 20-a2
20-a3 W-Y-N 20-a3
20-a4 W-N-N 20-a4
20-a5 TF-Y-N 20-a5
20-a6 TF-N-N 20-a6
20-b1 UM-Y-KF 20-b1
20-b2 UM-N-KF 20-b2
20-b3 W-Y-KF 20-b3
20-b4 W-N-KF 20-b4
20-b5 TF-Y-KF 20-b5
20-b6 TF-N-KF 20-b6
20-c1 UM-Y-ODR 20-c1
20-c2 UM-N-ODR 20-c2
20-c3 W-Y-ODR 20-c3
20-c4 W-N-ODR 20-c4
20-c5 TF-Y-ODR 20-c5
20-c6 TF-N-ODR 20-c6
20-d1 UM-Y-H 20-d1
20-d2 UM-N-H 20-d2
20-d3 W-Y-H 20-d3
20-d4 W-N-H 20-d4
20-d5 TF-Y-H 20-d5
20-d6 TF-N-H 20-d6
21-a1 W-Y-H 21-a1
21-a2 W-N-H 21-a2
21-a3 UM-N-H 21-a3
21-a4 UM-Y-H 21-a4
21-a5 TF-Y-H 21-a5
21-a6 TF-N-H 21-a6
21-b1 W-Y-N 21-b1
21-b2 W-N-N 21-b2
21-b3 UM-N-N 21-b3
21-b4 UM-Y-N 21-b4
21-b5 TF-Y-N 21-b5
21-b6 TF-N-N 21-b6
21-c1 W-Y-ODR 21-c1
21-c2 W-N-ODR 21-c2
21-c3 UM-N-ODR 21-c3
21-c4 UM-Y-ODR 21-c4
21-c5 TF-Y-ODR 21-c5
21-c6 TF-N-ODR 21-c6
21-d1 W-Y-KF 21-d1
21-d2 W-N-KF 21-d2
21-d3 UM-N-KF 21-d3
21-d4 UM-Y-KF 21-d4
21-d5 TF-Y-KF 21-d5
21-d6 TF-N-KF 21-d6
22-a1 M-N-ODR 22-a1
22-a2 M-Y-ODR 22-a2
22-a3 DR-Y-ODR 22-a3
22-a4 DR-N-ODR 22-a4
22-a5 LR-Y-ODR 22-a5
22-a6 LR-N-ODR 22-a6
22-b1 M-N-N 22-b1
22-b2 M-Y-N 22-b2
22-b3 DR-Y-N 22-b3
22-b4 DR-N-N 22-b4
22-b5 LR-Y-N 22-b5
22-b6 LR-N-N 22-b6
22-c1 M-N-H 22-c1
22-c2 M-Y-H 22-c2
22-c3 DR-Y-H 22-c3
22-c4 DR-N-H 22-c4
22-c5 LR-Y-H 22-c5
22-c6 LR-N-H 22-c6
22-d1 M-N-KF 22-d1
22-d2 M-Y-KF 22-d2
22-d3 DR-N-KF 22-d3
22-d4 DR-Y-KF 22-d4
22-d5 LR-Y-KF 22-d5
22-d6 LR-N-KF 22-d6
23-a1 UM-Y-N 23-a1
23-a2 UM-N-N 23-a2
23-a3 W-N-N 23-a3
23-a4 W-Y-N 23-a4
23-a5 DR-N-N 23-a5
23-a6 DR-Y-N 23-a6
23-b1 UM-Y-H 23-b1
23-b2 UM-N-H 23-b2
23-b3 W-N-H 23-b3
23-b4 W-Y-H 23-b4
23-b5 DR-N-H 23-b5
23-b6 DR-Y-H 23-b6
23-c1 UM-Y-KF 23-c1
23-c2 UM-N-KF 23-c2
23-c3 W-N-KF 23-c3
23-c4 W-Y-KF 23-c4
23-c5 DR-N-KF 23-c5
23-c6 DR-Y-KF 23-c6
23-d1 UM-Y-ODR 23-d1
23-d2 UM-N-ODR 23-d2
23-d3 W-N-ODR 23-d3
23-d4 W-Y-ODR 23-d4
23-d5 DR-N-ODR 23-d5
23-d6 DR-Y-ODR 23-d6
24-a1 TF-Y-ODR 24-a1
24-a2 TF-N-ODR 24-a2
24-a3 LR-Y-ODR 24-a3
24-a4 LR-N-ODR 24-a4
24-a5 M-Y-ODR 24-a5
24-a6 M-N-ODR 24-a6
24-b1 TF-Y-H 24-b1
24-b2 TF-N-H 24-b2
24-b3 LR-Y-H 24-b3
24-b4 LR-N-H 24-b4
24-b5 M-Y-H 24-b5
24-b6 M-N-H 24-b6
24-c1 TF-Y-N 24-c1
24-c2 TF-N-N 24-c2
24-c3 LR-Y-N 24-c3
24-c4 LR-N-N 24-c4
24-c5 M-Y-N 24-c5
24-c6 M-N-N 24-c6
24-d1 TF-Y-KF 24-d1
24-d2 TF-N-KF 24-d2
24-d3 LR-Y-KF 24-d3
24-d4 LR-N-KF 24-d4
24-d5 M-Y-KF 24-d5
24-d6 M-N-KF 24-d6
W-Expt1 W-Expt1 W-Expt1
Dr-Expt1 Dr-Expt1 Dr-Expt1
LR-Expt1 LR-Expt1 LR-Expt1
UM-Expt1 UM-Expt1 UM-Expt1
MP-Expt1 MP-Expt1 MP-Expt1
TF-Expt1 TF-Expt1 TF-Expt1
KF-Expt1 KF-Expt1 KF-Expt1
ODR-Expt1 ODR-Expt1 ODR-Expt1
W-soil-Expt1 W-soil-Expt1 W-soil-Expt1
ODR-2-1 ODR-2-1 ODR-2-1
ODR-2-2 ODR-2-2 ODR-2-2
ODR-2-3 ODR-2-3 ODR-2-3
ODR-2-4 ODR-2-4 ODR-2-4
ODR-2-5 ODR-2-5 ODR-2-5
MP-1-1 MP-1-1 MP-1-1
MP-1-2 MP-1-2 MP-1-2
MP-1-3 MP-1-3 MP-1-3
MP-1-4 MP-1-4 MP-1-4
MP-1-5 MP-1-5 MP-1-5
TF-1-1 TF-1-1 TF-1-1
TF-1-2 TF-1-2 TF-1-2
TF-1-3 TF-1-3 TF-1-3
TF-1-4 TF-1-4 TF-1-4
TF-1-5 TF-1-5 TF-1-5
UM-1-1 UM-1-1 UM-1-1
UM-1-2 UM-1-2 UM-1-2
UM-1-3 UM-1-3 UM-1-3
UM-1-4 UM-1-4 UM-1-4
UM-1-5 UM-1-5 UM-1-5
ODR-3-1 ODR-3-1 ODR-3-1
ODR-3-2 ODR-3-2 ODR-3-2
ODR-3-3 ODR-3-3 ODR-3-3
ODR-3-4 ODR-3-4 ODR-3-4
ODR-3-5 ODR-3-5 ODR-3-5
TF-2-1 TF-2-1 TF-2-1
TF-2-2 TF-2-2 TF-2-2
TF-2-3 TF-2-3 TF-2-3
TF-2-4 TF-2-4 TF-2-4
TF-2-5 TF-2-5 TF-2-5
W-soil-Expt2 W-soil-Expt2 W-soil-Expt2
blank2 blank blank2
MP-1-1-DW MP-1-1-DW MP-1-1-DW
MP-1-2-DW MP-1-2-DW MP-1-2-DW
MP-1-3-DW MP-1-3-DW MP-1-3-DW
MP-1-4-DW MP-1-4-DW MP-1-4-DW
MP-1-5-DW MP-1-5-DW MP-1-5-DW
ODR-2-1-DW ODR-2-1-DW ODR-2-1-DW
ODR-2-2-DW ODR-2-2-DW ODR-2-2-DW
ODR-2-3-DW ODR-2-3-DW ODR-2-3-DW
ODR-2-4-DW ODR-2-4-DW ODR-2-4-DW
ODR-2-5-DW ODR-2-5-DW ODR-2-5-DW
ODR-3-1-DW ODR-3-1-DW ODR-3-1-DW
ODR-3-2-DW ODR-3-2-DW ODR-3-2-DW
ODR-3-3-DW ODR-3-3-DW ODR-3-3-DW
ODR-3-4-DW ODR-3-4-DW ODR-3-4-DW
ODR-3-5-DW ODR-3-5-DW ODR-3-5-DW
TF-1-1-DW TF-1-1-DW TF-1-1-DW
TF-1-2-DW TF-1-2-DW TF-1-2-DW
